,filename,label_portrait,pixel_X,pixel_Y,max_I,min_I,mean_I,std_I,type,face_area,eye_status,tot_eye_area,face_angle,smile_status,smile_area,glasses_status,glasses_area,blurry_rate,light_percent,dark_percent,APW_rate,face_%,smile_%
0,43_0_0_20170104181239741.jpg,1.0,284,367,255,0,85.2,59.9,face,44100,eyes_NOK,6166,0.0,smile_YES,8712,glasses_NO,0,113.83,0.0,85.92,3.66,42.0,20.0
1,32_0_0_20170117133625422.jpg,0.0,738,1103,248,0,100.9,76.7,face,62001,2_eyes_OK,4705,13.8,smile_YES,9453,glasses_NO,0,22.6,24.99,55.09,2.36,8.0,15.0
2,43_1_4_20170117204021688.jpg,1.0,830,983,246,0,171.9,58.2,face,113569,2_eyes_OK,9113,6.7,smile_YES,20402,glasses_NO,0,7.63,90.17,0.0,0.05,14.0,18.0
3,27_1_3_20170117180032189.jpg,0.0,966,803,207,2,87.1,51.7,face_pb,0,eyes_NOK,0,0.0,smile_NO,0,glasses_NO,0,11.18,0.0,92.16,1.9,0.0,
4,48_0_0_20170104213027877.jpg,0.0,406,499,246,0,91.1,45.9,face,31329,eyes_NOK,1369,0.0,smile_NO,0,glasses_NO,0,59.29,0.0,26.89,4.32,15.0,0.0
5,26_1_2_20170116180223543.jpg,0.0,414,659,255,0,47.1,65.6,face_pb,0,eyes_NOK,0,0.0,smile_NO,0,glasses_NO,0,33.17,0.41,99.59,11.56,0.0,
6,26_1_3_20170104232139409.jpg,0.0,224,359,255,1,146.9,57.6,face,5929,eyes_NOK,0,0.0,smile_YES,990,glasses_NO,0,184.97,6.37,0.0,6.64,7.0,17.0
7,30_0_0_20170116222414030.jpg,1.0,742,963,235,28,165.8,31.4,face,100489,eyes_NOK,3136,0.0,smile_YES,18915,glasses_NO,0,2.8,16.63,0.0,0.0,14.0,19.0
8,34_0_0_20170114031602748.jpg,1.0,738,1103,254,0,140.4,71.4,face,271441,2_eyes_OK,21013,0.75,smile_YES,40755,glasses_NO,0,10.4,54.12,6.33,0.51,33.0,15.0
9,60_1_0_20170110183850108.jpg,0.0,400,599,241,0,102.9,67.1,face,7225,eyes_NOK,0,0.0,smile_YES,1352,glasses_NO,0,832.56,0.1,82.02,7.13,3.0,19.0
10,80_1_0_20170110141751087.jpg,1.0,500,569,254,0,163.4,85.4,face,48841,2_eyes_OK,4420,0.7,smile_YES,8712,glasses_NO,0,420.06,70.96,29.04,2.58,17.0,18.0
11,46_0_1_20170117182528088.jpg,0.0,1002,815,252,2,110.4,68.4,face,200704,eyes_NOK,10000,0.0,smile_YES,35778,glasses_NO,0,5.66,13.47,35.65,0.36,25.0,18.0
12,29_1_3_20170104214540068.jpg,0.0,410,369,254,0,140.0,73.5,face_pb,0,eyes_NOK,0,0.0,smile_NO,0,glasses_NO,0,34.05,83.33,4.59,2.77,0.0,
13,28_0_1_20170117021617321.jpg,0.0,1086,751,254,0,69.9,72.6,face,345744,2_eyes_OK,29041,7.2,smile_YES,62658,glasses_NO,0,10.45,2.14,94.51,2.37,42.0,18.0
14,18_1_4_20161223232148173.jpg,0.0,536,357,254,0,107.8,60.3,face,57600,2_eyes_OK,5305,7.38,smile_YES,10296,glasses_NO,0,106.92,1.74,25.62,7.5,30.0,18.0
15,30_0_0_20170117142111641.jpg,0.0,738,1103,234,5,105.0,72.3,face,106276,2_eyes_OK,8845,3.37,smile_YES,15488,glasses_NO,0,5.95,7.9,82.11,0.28,13.0,15.0
16,18_0_0_20170117135529944.jpg,1.0,566,839,214,0,55.1,45.0,face,89401,eyes_NOK,11046,0.0,smile_YES,12482,glasses_NO,0,5.91,0.0,62.59,2.28,19.0,14.0
17,25_1_1_20170116002112614.jpg,0.0,1214,671,230,0,95.0,40.9,profile,114921,2_eyes_OK,8730,26.23,smile_NO,0,glasses_NO,0,8.91,0.0,35.34,1.04,14.0,0.0
18,26_1_0_20170117173257366.jpg,0.0,930,875,255,3,112.8,61.7,face,119025,2_eyes_OK,9945,4.78,smile_YES,21945,glasses_NO,0,5.81,0.52,56.19,0.39,15.0,18.0
